Disease,Description
Fungal infection,"A skin, nail, or internal infection caused by fungi, leading to itching, redness, and discomfort. Common types include ringworm, athlete’s foot, and candidiasis. Treated with antifungal creams or oral medications."
Allergy,"An overreaction of the immune system to harmless substances like pollen, dust, or food. Symptoms include sneezing, itching, rashes, and swelling. Managed with antihistamines and avoiding triggers."
GERD,"A digestive disorder where stomach acid flows back into the esophagus, causing heartburn and irritation. Common triggers include spicy food and overeating. Treated with antacids and lifestyle changes."
Chronic cholestasis,"A liver condition where bile flow is reduced or blocked, leading to jaundice, itching, and fatigue. It can be caused by liver diseases or gallstones. Treatment focuses on managing symptoms and underlying causes."
Drug Reaction,"An adverse response to a medication, ranging from mild rashes to severe allergic reactions. Symptoms vary based on the drug and the individual's sensitivity. Treatment includes stopping the drug and taking antihistamines."
Peptic ulcer disease," Sores in the stomach or small intestine lining, causing pain, bloating, and nausea. Commonly caused by H. pylori bacteria or excessive NSAID use. Treated with antibiotics and acid-reducing medications."
AIDS,"A life-threatening condition caused by HIV, weakening the immune system. It increases susceptibility to infections and certain cancers. Managed with antiretroviral therapy (ART)."
Diabetes," A chronic condition where the body cannot regulate blood sugar properly due to insulin issues. Symptoms include increased thirst, frequent urination, and fatigue. Managed with diet, exercise, and medications."
Gastroenteritis," Inflammation of the stomach and intestines caused by infections or food poisoning. Symptoms include diarrhea, vomiting, and stomach cramps. Managed with hydration and symptom relief."
Bronchial Asthma,"A respiratory condition causing airway inflammation, leading to wheezing, shortness of breath, and coughing. Triggers include allergens and pollution. Treated with inhalers and bronchodilators."
Hypertension," A chronic condition where blood pressure is consistently high, increasing the risk of heart disease and stroke. Managed with lifestyle changes and medications."
Migraine,"A severe headache disorder with throbbing pain, sensitivity to light, nausea, and visual disturbances. Triggers include stress, diet, and hormonal changes. Treated with pain relievers and preventive measures."
Cervical spondylosis," A degenerative neck condition affecting the spine due to aging, leading to stiffness and neck pain. It may cause nerve compression, leading to tingling in arms. Managed with physiotherapy and pain relief."
Paralysis (brain hemorrhage)," Loss of muscle function due to brain bleeding from stroke or injury. It affects movement, speech, and cognition. Treatment focuses on rehabilitation and managing underlying causes."
Jaundice,A condition where excess bilirubin causes yellowing of the skin and eyes. It results from liver dysfunction or bile duct obstruction. Treatment depends on the underlying cause
