Disease,Medication
Fungal infection,"['Clotrimazole: Apply 1% cream to the affected area twice daily', 'Fluconazole: 150 mg orally once weekly (monitor blood glucose levels closely)', 'Ketoconazole: Apply 2% cream once daily', 'Itraconazole: 200 mg orally once daily (monitor blood glucose levels closely)', 'Terbinafine: 250 mg orally once daily (monitor liver function tests before and during treatment)']"
Allergy,"['Cetirizine: 10 mg orally once daily', 'Loratadine: 10 mg orally once daily', 'Levocetirizine: 5 mg orally once daily', 'Hydroxyzine: 25 mg orally every 8 hours as needed', 'Chlorpheniramine: 4 mg orally every 4-6 hours as needed']"
GERD,"['Omeprazole: 20 mg orally once daily before a meal', 'Pantoprazole: 40 mg orally once daily', 'Esomeprazole: 20 mg orally once daily', 'Famotidine: 20 mg orally twice daily', 'Rabeprazole: 20 mg orally once daily']"
Chronic cholestasis,"['Ursodeoxycholic Acid: 10-12 mg/day orally in 2-4 divided doses', 'Cholestyramine: 3 g orally once or twice daily before meals', 'Rifampicin: 200 mg orally once daily', 'Phenobarbital: 20-60 mg orally at bedtime', 'Vitamin K: 5 mg orally once daily as needed']"
Drug Reaction,"['Prednisone: 10-40 mg orally once daily, tapering as directed', 'Diphenhydramine: 25-50 mg orally every 6-8 hours as needed', 'Hydroxyzine: 25-50 mg orally up to three times daily', 'Cetirizine: 5 mg orally once daily', 'Methylprednisolone: 2-32 mg orally once daily, tapering as directed']"
Peptic ulcer disease,"['Omeprazole: 20 mg orally once daily before a meal', 'Pantoprazole: 40 mg orally once daily before a meal', 'Famotidine: 20 mg orally twice daily or 40 mg once daily at bedtime', 'Sucralfate: 1 g orally four times daily, 1 hour before meals and at bedtime', 'Clarithromycin: 500 mg orally twice daily for 7-14 days (as part of combination therapy)']"
AIDS,"['Zidovudine (AZT): 200 mg orally twice daily', 'Lamivudine (3TC): 100 mg orally twice daily or 200 mg once daily', 'Efavirenz (EFV): 400 mg orally once daily at bedtime', 'Tenofovir (TDF): 200 mg orally once daily', 'Emtricitabine (FTC): 150 mg orally once daily']"
Diabetes,"['Metformin: 500 mg orally twice daily with meals; may increase to 1,500-2,000 mg/day', 'Glibenclamide (Glyburide): 2.5 mg orally once daily with breakfast; maximum 15 mg/day', 'Glimepiride: 1 mg orally once daily with breakfast; maximum 6 mg/day', 'Pioglitazone: 15 mg orally once daily; maximum 30 mg/day', 'Sitagliptin: 50 mg orally once daily']"
Gastroenteritis,"['Oral Rehydration Salts (ORS): Administer as needed to prevent dehydration', 'Loperamide: 2 mg orally initially, then 1 mg after each loose stool; maximum 8 mg/day', 'Levofloxacin: 500 mg orally once daily for 3-5 days', 'Tinidazole: 500 mg orally twice daily for 3-5 days', 'Rifaximin: 200 mg orally three times daily for 3 days']"
Bronchial Asthma,"['Salbutamol (Albuterol): Inhale 100 mcg (1 puff) every 4-6 hours as needed', 'Budesonide: Inhale 100-200 mcg twice daily', 'Montelukast: 10 mg orally once daily in the evening', 'Aminophylline: 200 mg orally once daily at bedtime', 'Ipratropium: Inhale 20 mcg (1 puff) four times daily']"
Hypertension,"['Amlodipine: 2.5 mg orally once daily; may increase to 5 mg daily', 'Lisinopril: 5 mg orally once daily; may increase to 20 mg daily', 'Losartan: 25 mg orally once daily; may increase to 50 mg daily', 'Hydrochlorothiazide: 12.5 mg orally once daily; may increase to 25 mg daily', 'Metoprolol: 25 mg orally once daily; may increase to 100 mg daily']"
Migraine,"['Sumatriptan: 50 mg orally at onset; may repeat after 2 hours; maximum 150 mg/day', 'Rizatriptan: 5 mg orally at onset; may repeat after 2 hours; maximum 15 mg/day', 'Propranolol: 20 mg orally twice daily; may increase to 120 mg/day', 'Topiramate: 25 mg orally once daily; may increase to 75 mg/day', 'Amitriptyline: 10 mg orally at bedtime; may increase to 100 mg/day']"
Cervical spondylosis,"['Ibuprofen: 200 mg orally every 6-8 hours as needed; maximum 2,400 mg/week', 'Naproxen: 250 mg orally once daily', 'Cyclobenzaprine: 5 mg orally once daily at bedtime', 'Gabapentin: 100 mg orally once daily; may increase to 1,200 mg', 'Corticosteroids: 10-20 mg once daily']"
Paralysis (brain hemorrhage),"['Labetalol: 5-10 mg IV over 2 minutes, may repeat every 10 minutes as needed (for blood pressure control)', 'Nitroglycerin: 5-10 mcg/min IV infusion, titrate by 5 mcg/min every 3-5 minutes to a maximum of 200 mcg/min (for blood pressure control)', 'Levetiracetam: 500 mg IV loading dose, then 500 mg orally twice daily (for seizure prophylaxis)', 'Hypertonic saline: 3% solution, 250-500 mL IV over 30 minutes, may repeat as needed (to reduce intracranial pressure)', 'Amlodipine: 5 mg orally once daily (to manage blood pressure and prevent cerebral vasospasm)']"
Jaundice,"['Ursodeoxycholic Acid: 10-12 mg/kg/day orally in 2-4 divided doses', 'Colestipol: 2 g orally once or twice daily before meals', 'Vitamin K: 5 mg orally once daily as needed', 'Ciprofloxacin: 250 mg orally twice daily', 'Diazepam: 5-10 mg orally at bedtime']"
Malaria,"['Chloroquine: 500 mg base (833 mg salt) orally initially, then 250 mg base (417 mg salt) at 6, 24, and 48 hours', 'Artemether-Lumefantrine: 20 mg/120 mg per tablet; 2 tablets orally initially, then at 8, 24, 36, 48, and 60 hours', 'Quinine Sulfate: 500 mg orally every 8 hours for 5-7 days', 'Doxycycline: 100 mg orally once daily for 7 days (used in combination with quinine)', 'Primaquine: 15 mg base (26.3 mg salt) orally once daily for 14 days (for P. vivax or P. ovale)']"
Chicken pox,"['Acyclovir: 400 mg orally five times daily for 5-7 days', 'Famciclovir: 250 mg orally three times daily for 5-7 days', 'Valacyclovir: 500 mg orally three times daily for 5-7 days', 'Paracetamol (Acetaminophen): 500 mg orally every 6 hours as needed for fever; maximum 3,000 mg/day', 'Loratadine: 10 mg orally once daily for itching relief']"
Dengue,"['Paracetamol (Acetaminophen): 500 mg orally every 6-8 hours as needed for fever; maximum 3,000 mg/day', 'Oral Rehydration Salts (ORS): Administer as needed to prevent dehydration', 'Normal Saline Solution: Administer intravenously as needed for fluid replacement', 'Platelet Transfusion: Administer as needed for severe thrombocytopenia', 'Vitamin C: 250 mg orally once daily']"
Typhoid,"['Ciprofloxacin: 500 mg orally once daily for 7-14 days', 'Azithromycin: 500 mg orally once daily for 7 days', 'Ceftriaxone: 1 g intravenously once daily for 7-10 days', 'Chloramphenicol: 250 mg orally four times daily for 7-10 days', 'Amoxicillin: 500 mg orally three times daily for 10-14 days']"
hepatitis A,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Paracetamol (Acetaminophen): 500 mg orally every 6 hours as needed for pain or fever; maximum 3,000 mg/day', 'Ondansetron: 4 mg orally every 12 hours as needed for nausea', 'Vitamin B Complex: One tablet orally once daily', 'Milk Thistle (Silymarin): 140 mg orally twice daily']"
