Disease,Medication
Fungal infection,"['Clotrimazole 1% Cream: Apply topically twice daily for 2-4 weeks', 'Fluconazole 150 mg Tablets: One tablet orally once weekly for 2-4 weeks', 'Terbinafine 1% Cream: Apply topically once daily for 1-2 weeks', 'Griseofulvin 500 mg Tablets: One tablet orally once daily for 2-4 weeks', 'Sertaconazole 2% Cream: Apply topically twice daily for 2-4 weeks']"
Allergy,"['Cetirizine: 5 mg orally once daily', 'Loratadine: 5 mg orally once daily', 'Fexofenadine: 120 mg orally once daily', 'Levocetirizine: 5 mg orally once daily', 'Chlorpheniramine: 2 mg orally every 6-8 hours as needed']"
GERD,"['Omeprazole: 20 mg orally once daily before breakfast', 'Pantoprazole: 20 mg orally once daily', 'Esomeprazole: 40 mg orally once daily', 'Lansoprazole: 30 mg orally once daily before breakfast', 'Rabeprazole: 10 mg orally once daily']"
Chronic cholestasis,"['Ursodeoxycholic Acid: 13-15 mg/kg/day orally in 2-4 divided doses', 'Cholestyramine: 4 g orally once or twice daily before meals', 'Rifampicin: 150-300 mg orally once daily', 'Phenobarbital: 30-120 mg orally at bedtime', 'Vitamin K: 10 mg orally once daily as needed']"
Drug Reaction,"['Prednisone: 20-60 mg orally once daily, tapering as directed', 'Diphenhydramine: 25-50 mg orally every 4-6 hours as needed', 'Hydroxyzine: 25-100 mg orally up to four times daily', 'Cetirizine: 10 mg orally once daily', 'Methylprednisolone: 4-48 mg orally once daily, tapering as directed']"
Peptic ulcer disease,"['Omeprazole: 20 mg orally once daily before a meal', 'Lansoprazole: 15 mg orally once daily before breakfast', 'Ranitidine: 150 mg orally twice daily or 300 mg once daily at bedtime', 'Sucralfate: 1 g orally four times daily, 1 hour before meals and at bedtime', 'Amoxicillin: 1 g orally twice daily for 7-14 days (as part of combination therapy)']"
AIDS,"['Zidovudine (AZT): 300 mg orally twice daily', 'Lamivudine (3TC): 150 mg orally twice daily or 300 mg once daily', 'Efavirenz (EFV): 600 mg orally once daily at bedtime', 'Tenofovir (TDF): 300 mg orally once daily', 'Emtricitabine (FTC): 200 mg orally once daily']"
Diabetes,"['Metformin: 500 mg orally twice daily with meals; may increase to 2,000-2,500 mg/day', 'Glibenclamide (Glyburide): 2.5-5 mg orally once daily with breakfast; maximum 20 mg/day', 'Glimepiride: 1-2 mg orally once daily with breakfast; maximum 8 mg/day', 'Pioglitazone: 15-30 mg orally once daily; maximum 45 mg/day', 'Sitagliptin: 100 mg orally once daily'.]"
Gastroenteritis,"['Oral Rehydration Salts (ORS): Administer as needed to prevent dehydration', 'Loperamide: 4 mg orally initially, then 2 mg after each loose stool; maximum 16 mg/day', 'Ciprofloxacin: 500 mg orally twice daily for 3-5 days', 'Metronidazole: 500 mg orally twice daily for 5-7 days', 'Azithromycin: 500 mg orally once daily for 3 days']"
Bronchial Asthma,"['Salbutamol (Albuterol): Inhale 100-200 mcg (1-2 puffs) every 4-6 hours as needed', 'Budesonide: Inhale 200-400 mcg twice daily', 'Montelukast: 10 mg orally once daily in the evening', 'Theophylline: 200-400 mg orally once daily at bedtime', 'Ipratropium: Inhale 20-40 mcg (1-2 puffs) four times daily']"
